county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_highschool,prop_GED,prop_some_college,prop_college_no_degree,prop_associates,prop_bachelors,prop_masters,prop_professional,prop_doctoral,prop_poverty,perc_poverty,median_income_thousand
Georgia,2021,10799566,66559,1153,1112,0.5120040934978313,0.4879959065021687,0.5187549203366135,0.30778088675044907,0.00496705145373434,0.04313877057652132,5.049276980204575e-4,0.03730168416027088,0.08755175902439043,0.2191766108844969,0.04766105665657258,0.05792608543417851,0.13440455852427977,0.08426142730898524,0.20928356153646996,0.0966726294881682,0.02397891923042418,0.01634387210542707,0.1402105663836461,14.021056638364609,66.559
Hawaii,2021,1441553,84857,1774,1790,0.4966511810526564,0.5033488189473436,0.2217587560082772,0.01975924575787362,0.00335540906230988,0.3719329084674653,0.10097166042455602,0.0189913239402228,0.2632306963392952,0.23776264159179863,0.02562037101382321,0.06354294416978977,0.1389564514376712,0.11041444199642356,0.22203375397749017,0.08914961235681769,0.026562929742670702,0.01527865187674894,0.11176261701435831,11.176261701435832,84.857
Idaho,2021,1900923,66474,1035,1048,0.4979738790050938,0.5020261209949062,0.8143859588210569,0.00748846744449933,0.01262018503642704,0.01367809216890952,9.095581462268592e-4,0.05731531471816586,0.09360242366471444,0.21998924907320969,0.04900816338864123,0.07390466981454652,0.1619342444054626,0.10061022642151583,0.20178821628447333,0.07483344810530819,0.01897474963540681,0.01155565592581224,0.11009680074760192,11.009680074760192,66.474
Illinois,2021,12671469,72205,1106,1234,0.5056323777456269,0.4943676222543732,0.6132644920648112,0.13594351215316866,0.00668533379989328,0.05749380754512361,4.561428513142399e-4,0.07516168804106296,0.11099502354462612,0.21488135483341136,0.03652961498950198,0.06747055819254752,0.12813639048520412,0.08330789626532681,0.2213204741843635,0.11018433007124172,0.02442164697732609,0.01547333506133588,0.12103817090343572,12.103817090343572,72.205
Indiana,2021,6805985,62743,905,895,0.5041230622753357,0.4958769377246644,0.7799782103545629,0.08836751770684184,0.00281722630890312,0.02384974401207172,2.478700731782394e-4,0.03097802889662554,0.0737614026478166,0.2783172585676341,0.05460354138306367,0.06893869262666211,0.1248721661906413,0.09088630198364736,0.18489851481402772,0.0753407457752612,0.01633268130688645,0.01222050644010447,0.12151469631124018,12.151469631124018,62.743
Iowa,2021,3193079,65600,847,957,0.4978930994190873,0.5021069005809127,0.8445453432251442,0.03606957422600568,0.00478785523314643,0.02360511593981859,0.00152172871388399,0.02179213229613173,0.06767825036586943,0.2632355149885765,0.03933492446640817,0.07536608771694238,0.13037621516511086,0.1195249433737854,0.20674966698030797,0.06796221893348543,0.01621374272959643,0.01448489445135619,0.11118088892200378,11.118088892200378,65.6
Kansas,2021,2934582,64124,904,969,0.49750594803621095,0.502494051963789,0.7601852665899266,0.05272710048654289,0.00738435661365059,0.02910874530001206,6.021300478228245e-4,0.0440474997802072,0.10594490118183782,0.21297048142428968,0.04120624076723891,0.08500035785396777,0.13951516193793112,0.08628399805780551,0.2201002711966688,0.09667515046600823,0.02277495928445683,0.01441713827013906,0.11683430111986728,11.683430111986729,64.124
Kentucky,2021,4509394,55573,830,825,0.5056258113617927,0.49437418863820726,0.8330252357633864,0.07199060450251187,0.00229676093949652,0.01426222680918988,0.00110613532550049,0.01389654574428404,0.06342249091563079,0.26150902556868116,0.0659755603474744,0.06618544595981568,0.1268284172123097,0.08957761982567798,0.15872875598588243,0.08085697010299665,0.01851541993205034,0.01170063553753297,0.1648181613732906,16.481816137329062,55.573
Louisiana,2021,4624047,52087,924,807,0.5110633607314112,0.4889366392685888,0.578540832305554,0.3117712687608928,0.00517425536548395,0.01741029016357316,7.897843598908056e-4,0.01886421137155396,0.06744935767305134,0.27291570025016154,0.05540670335360161,0.0572397668923189,0.14898501404792655,0.06776528574169138,0.16793191038327518,0.06586292893654726,0.01873195888856167,0.01193255712042848,0.1962279644111368,19.622796441113678,52.087
Maine,2021,1372247,64767,945,1034,0.5092115340751338,0.4907884659248663,0.904709574879741,0.01535364988956069,0.00347605059439007,0.01226236967543015,2.6598709999001635e-4,0.00863838652953877,0.05529398133134924,0.2487069959155848,0.04742295665948824,0.05975501390040962,0.12396091728911472,0.105555435148826,0.2216450361450056,0.0972940010521359,0.02216775459619852,0.01877195644078583,0.11518296825381404,11.518296825381404,64.767
Maryland,2021,6165129,90203,1473,1631,0.5128908089352227,0.4871091910647774,0.4896643687423248,0.2936426796584467,0.00408880333242013,0.06617574425449979,5.750082439475313e-4,0.06586042238532235,0.0799929733830387,0.20783289572831984,0.03063773325283273,0.06032560621165105,0.11760669839888048,0.06899697186691191,0.2238415167810992,0.1419944024000412,0.03250726611533115,0.02714040334545522,0.10265400167036116,10.265400167036116,90.203
Massachusetts,2021,6984723,89645,1487,1840,0.5120419234950334,0.48795807650496664,0.691823426641257,0.06682226338825463,0.00226709062048702,0.07067524367108044,3.0151517819675886e-4,0.05656444786715235,0.11154601263357186,0.19908425038325103,0.02871510338405858,0.0491590767930728,0.09156482945961857,0.0763093608497281,0.253456959869335,0.14930305557216114,0.03173977228859386,0.03166783356012608,0.10374858670412734,10.374858670412735,89.645
