player,team,salary_2025_2026,position,age,points_per_game,assists_per_game,blocks_per_game,rebounds_per_game,steals_per_game,draft_year,pick_number,team_drafted_by,college,years_played,win_shares,win_shares_per_year
John Konchar,MEM,6165000,SG,28,2.4,0.9,0.3,3.3,0.7,NA,NA,NA,NA,NA,NA,NA
Taylor Hendricks,UTA,6127080,PF,21,4.7,0.7,1.3,5,1.7,2023,9,UTA,Central Florida,2,1.2,0.6
Saddiq Bey,NOP,6118644,NA,NA,NA,NA,NA,NA,NA,2020,19,BRK,Villanova,4,14.6,3.65
Zach Edey,MEM,6045000,C,22,9.2,1,1.3,8.3,0.5,2024,9,MEM,Purdue,1,4.9,4.9
Khaman Maluach,PHO,6016080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaden Hardy,DAL,6000000,SG,22,8.7,1.4,0.1,1.5999999999999999,0.5,2022,37,SAC,NA,3,0.7,0.2333333333333333
Cason Wallace,OKC,5820240,SG,21,8.4,2.5,0.5,3.3,1.8,2023,10,DAL,Kentucky,2,9.2,4.6
Cody Williams,UTA,5742480,SG,20,4.6,1.2,0.3,2.2,0.5,2024,10,UTA,Colorado,1,-1.2,-1.2
Cedric Coward,MEM,5715120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tari Eason,HOU,5675766,PF,23,12,1.5,0.9,6.3,1.7,2022,17,HOU,LSU,3,8.8,2.9333333333333336
Haywood Highsmith,BRK,5616000,SF,28,6.5,1.5,0.5,3.4,0.9,NA,NA,NA,NA,NA,NA,NA
Jett Howard,ORL,5529720,SF,21,4.5,0.7,0.2,1.1,0.2,2023,11,ORL,Michigan,2,0.2,0.1
Matas Buzelis,CHI,5455560,SF,20,8.6,1,0.9,3.5,0.4,2024,11,CHI,NA,1,1.9,1.9
Noa Essengue,CHI,5429520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dario Šarić,SAC,5426400,C,30,3.5,1.4,0.1,3.1999999999999997,0.4,2014,12,ORL,NA,8,20.9,2.6125
Kris Dunn,LAC,5426400,PG,30,6.4,2.8,0.4,3.4000000000000004,1.7,2016,5,MIN,Providence,9,11.8,1.3111111111111111
Dalen Terry,CHI,5399118,SG,22,4.5,1.3,0.2,1.7,0.6,2022,18,CHI,Arizona,3,2.4,0.7999999999999999
Dereck Lively II,DAL,5253360,C,20,8.7,2.4,1.6,7.5,0.6,2023,12,OKC,Duke,2,8.4,4.2
Nikola Topić,OKC,5182920,NA,NA,NA,NA,NA,NA,NA,2024,12,OKC,NA,NA,NA,NA
Derik Queen,NOP,5157960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Drummond,PHI,5000000,C,31,7.3,0.9,0.5,7.7,1,2012,9,DET,UConn,13,76.6,5.892307692307692
Moritz Wagner,ORL,5000000,C,27,12.9,1.4,0.4,4.9,0.8,2018,25,LAL,Michigan,7,16.9,2.414285714285714
Nick Richards,PHO,5000000,C,27,9.3,0.9,1,8.2,0.2,2020,42,NOP,Kentucky,5,13.3,2.66
Gradey Dick,TOR,4990560,SG,21,14.4,1.8,0.2,3.5999999999999996,0.9,2023,13,TOR,Kansas,2,1.6,0.8
Malaki Branham,WAS,4962033,SG,21,5,0.8,0,1,0.2,2022,20,SAS,Ohio State,3,-0.3,-0.09999999999999999
Devin Carter,SAC,4923720,PG,22,3.8,1.1,0.1,2.1,0.6,2024,13,SAC,Providence,1,0.4,0.4
Christian Braun,DEN,4921797,SG,23,15.4,2.6,0.5,5.1,1.1,2022,21,DEN,Kansas,3,13.4,4.466666666666667
Carter Bryant,SAS,4900320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walker Kessler,UTA,4878938,C,23,11.1,1.7,2.4,12.2,0.6,2022,22,MEM,Auburn,3,16.6,5.533333333333334
Jordan Hawkins,NOP,4741320,SG,22,10.8,1.2,0.4,2.8,0.5,2023,14,NOP,UConn,2,0.7,0.35
Blake Wesley,WAS,4726328,SG,21,3.7,2,0.1,1.1,0.6,2022,25,SAS,Notre Dame,3,-0.5,-0.16666666666666666
Bub Carrington,WAS,4677600,PG,19,9.8,4.4,0.3,4.2,0.7,2024,14,POR,Pitt,1,0.2,0.2
Thomas Sorber,OKC,4655040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kobe Bufkin,ATL,4503720,SG,21,5.3,1.7,0.2,2.1,0.3,2023,15,ATL,Michigan,2,-0.1,-0.05
Jose Alvarado,NOP,4500000,PG,26,10.3,4.6,0.3,2.4,1.3,NA,NA,NA,NA,NA,NA,NA
Nikola Jović,MIA,4445417,PF,21,10.7,2.8,0.3,3.9,0.8,2022,27,MIA,NA,3,4.7,1.5666666666666667
Kel'el Ware,MIA,4443360,C,20,9.3,0.9,1.1,7.3999999999999995,0.6,2024,15,MIA,Indiana,1,4.1,4.1
Yang Hansen,POR,4422360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peyton Watson,DEN,4356476,SF,22,8.1,1.4,1.4,3.4000000000000004,0.7,2022,30,OKC,UCLA,3,5.3,1.7666666666666666
Miles McBride,NYK,4333333,PG,24,9.5,2.9,0.3,2.5,1,2021,36,OKC,West Virginia,4,7.9,1.975
Keyonte George,UTA,4278960,PG,21,16.8,5.6,0.1,3.8,0.7,2023,16,UTA,Baylor,2,0.7,0.35
Jared McCain,PHI,4221360,SG,20,15.3,2.6,0,2.5,0.7,2024,16,PHI,Duke,1,0.7,0.7
Joan Beringer,MIN,4201080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Love,UTA,4150000,PF,36,5.3,1,0.2,4.1,0.7,2008,5,MEM,UCLA,17,94.9,5.582352941176471
Dalton Knecht,LAL,4010160,SF,23,9.1,0.8,0.1,2.8,0.3,2024,17,LAL,Tennessee,1,2.7,2.7
Dwight Powell,DAL,4000000,C,33,2.1,1,0.4,2.2,0.3,2014,45,CHO,Stanford,11,47.9,4.3545454545454545
Walter Clayton,UTA,3991320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaime Jaquez Jr.,MIA,3861600,SF,23,8.6,2.5,0.2,4.4,0.9,2023,18,MIA,UCLA,2,6.3,3.15
Nolan Traoré,BRK,3811560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tristan Da Silva,ORL,3809520,SF,23,7.2,1.5,0.2,3.3,0.4,2024,18,ORL,Colorado,1,2.5,2.5
Brandin Podziemski,GSW,3687960,SG,21,11.7,3.4,0.2,5.1,1.1,2023,19,GSW,Santa Clara,2,8.3,4.15
Svi Mykhailiuk,UTA,3675000,SF,27,8.8,2,0.2,2.4,0.5,2018,47,LAL,Kansas,7,4.1,0.5857142857142856
Kasparas Jakucionis,MIA,3658800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Kobe Walter,TOR,3638160,SG,20,8.6,1.6,0.2,3,0.8,2024,19,TOR,Baylor,1,1.2,1.2
Cam Whitmore,WAS,3539760,SF,20,9.4,1,0.3,3,0.6,2023,20,HOU,Villanova,2,3.3,1.65
Will Riley,WAS,3512520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylon Tyson,CLE,3492480,SG,22,3.6,0.9,0.1,2.1,0.3,2024,20,CLE,California,1,0.8,0.8
P.J. Tucker,NYK,3468960,SF,39,3,0,0.3,2.6,0.3,2006,35,TOR,Texas,14,43.3,3.0928571428571425
Russell Westbrook,DEN,3468960,PG,36,13.3,6.1,0.5,5,1.4,2008,4,SEA,UCLA,17,112.5,6.617647058823529
Noah Clowney,BRK,3398640,PF,20,9.1,0.9,0.5,3.9,0.5,2023,21,BRK,Alabama,2,1.3,0.65
Drake Powell,BRK,3372240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yves Missi,NOP,3353040,C,20,9.1,1.4,1.3,8.2,0.5,2024,21,NOP,Baylor,1,3.6,3.6
Dariq Whitehead,BRK,3262560,SF,20,5.7,0.6,0.1,1.5,0.3,2023,22,BRK,Duke,2,0,0
Asa Newell,ATL,3237480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DaRon Holmes,DEN,3218760,NA,NA,NA,NA,NA,NA,NA,2024,22,PHO,Dayton,NA,NA,NA
Elfrid Payton,NOP,3153598,PG,30,3.5,6.9,0.5,3.3000000000000003,1,2014,10,PHI,Louisiana,9,15.1,1.6777777777777778
Kris Murray,POR,3132000,SF,24,4.2,1,0.2,2.6,0.5,2023,23,POR,Iowa,2,1.4,0.7
Nique Clifford,SAC,3108120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nassir Little,PHO,3107143,NA,NA,NA,NA,NA,NA,NA,2019,25,POR,UNC,5,4.7,0.9400000000000001
AJ Johnson,WAS,3090480,SG,20,7.6,2.6,0.1,2.1,0.4,2024,23,MIL,NA,1,-0.4,-0.4
Olivier-Maxence Prosper,DAL,3007080,PF,22,3.9,0.8,0.1,2.4000000000000004,0.5,2023,24,SAC,Marquette,2,1.4,0.7
Shake Milton,LAL,3000000,SG,28,5.5,1.8,0.1,1.8,0.4,2018,54,DAL,SMU,7,11.7,1.6714285714285713
Kyle Filipowski,UTA,3000000,C,21,9.6,1.9,0.3,6.199999999999999,0.7,2024,32,UTA,Duke,1,2.5,2.5
Julian Champagnie,SAS,3000000,SF,23,9.9,1.4,0.4,3.9000000000000004,0.7,NA,NA,NA,NA,NA,NA,NA
Jase Richardson,ORL,2983320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyshawn George,WAS,2966760,SG,21,8.7,2.5,0.7,4.2,1,2024,24,NYK,Miami (FL),1,0.1,0.1
Tony Bradley,IND,2940876,C,27,4.4,0.4,0.6,3,0.1,2017,28,LAL,UNC,7,8,1.1428571428571428
Lonnie Walker IV,PHI,2940876,SG,26,12.4,2.5,0.3,3.1999999999999997,0.5,2018,18,SAS,Miami (FL),7,4.9,0.7000000000000001
Marcus Sasser,DET,2886720,PG,24,6.6,2.3,0.1,1.2,0.6,2023,25,MEM,Houston,2,2.8,1.4
Ben Saraf,BRK,2884560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacome Dadiet,NYK,2847600,SG,19,1.7,0.3,0.1,1,0.2,2024,25,NYK,NA,1,0,0
Danny Wolf,BRK,2801280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sheppard,IND,2790720,SG,23,5.3,1.3,0.2,2.8,0.6,2023,26,IND,Belmont,2,2.9,1.45
Hugo González,BOS,2783880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liam McNeeley,CHO,2763960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dillon Jones,OKC,2753280,SF,23,2.5,1.1,0.1,2.3,0.3,2024,26,WAS,Weber State,1,0.8,0.8
Yanic Konan Niederhauser,LAC,2743800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DaQuan Jeffries,CHO,2743776,SG,27,6.7,1.1,0.5,2.9000000000000004,0.6,NA,NA,NA,NA,NA,NA,NA
Nick Smith Jr.,CHO,2710680,SG,20,9.9,2.4,0.1,2.1,0.3,2023,27,CHO,Arkansas,2,-1.1,-0.55
Brice Sensabaugh,UTA,2693760,SF,21,10.9,1.5,0.1,3,0.6,2023,28,UTA,Ohio State,2,0.9,0.45
Julian Strawther,DEN,2674200,SG,22,9,1.3,0.2,2.1999999999999997,0.6,2023,29,IND,Gonzaga,2,1.4,0.7
Terrence Shannon Jr.,MIN,2674080,SG,24,4.3,1,0.2,1.5,0.2,2024,27,MIN,Illinois,1,0.6,0.6
James Wiseman,IND,2667947,C,23,6,0,0,1,0,2020,2,GSW,Memphis,4,4.3,1.075
Ryan Dunn,PHO,2657760,SF,22,6.9,0.8,0.5,3.5999999999999996,0.6,2024,28,DEN,Virginia,1,1,1
Kobe Brown,LAC,2654880,PF,25,1.9,0.6,0.1,1.7,0.2,2023,30,LAC,Missouri,2,0.9,0.45
Isaiah Collier,UTA,2638200,PG,20,8.7,6.3,0.2,3.4,0.9,2024,29,UTA,USC,1,-0.8,-0.8
Baylor Scheierman,BOS,2619000,SG,24,3.6,1.1,0.1,2.1,0.5,2024,30,BOS,Creighton,1,0.7,0.7
Xavier Tillman Sr.,BOS,2546675,C,26,1,0.2,0.2,1.3,0.3,2020,35,SAC,Michigan State,5,10,2
Chuma Okeke,CLE,2546675,PF,26,5.9,1.7,0.4,5.199999999999999,0.6,2019,16,ORL,Auburn,5,5,1
Justin Champagnie,WAS,2349578,SF,23,8.8,1,0.6,5.7,1,NA,NA,NA,NA,NA,NA,NA
Jordan Goodwin,PHO,2349578,PG,26,5.6,1.4,0.4,3.9000000000000004,1,NA,NA,NA,NA,NA,NA,NA
Jay Huff,IND,2349578,C,26,6.9,0.6,0.9,2,0.3,NA,NA,NA,NA,NA,NA,NA
Keon Johnson,BRK,2349578,SG,22,10.6,2.2,0.4,3.8,1,2021,21,NYK,Tennessee,4,-0.3,-0.075
Brandon Boston Jr.,NOP,2349578,SG,23,10.7,2.2,0.2,3.2,1.3,2021,51,MEM,Kentucky,4,1,0.25
Neemias Queta,BOS,2349578,C,25,5,0.7,0.7,3.8,0.3,2021,39,SAC,Utah State University,4,5.2,1.3
Vit Krejci,ATL,2349578,PG,24,7.2,2.6,0.5,2.8,0.6,2020,37,WAS,NA,4,4,1
Keon Ellis,SAC,2301587,SG,25,8.3,1.5,0.8,2.7,1.5,NA,NA,NA,NA,NA,NA,NA
Vince Williams Jr.,MEM,2301587,SG,24,6.6,2,0.3,3.5999999999999996,0.4,2022,47,MEM,VCU,3,3.1,1.0333333333333334
A.J. Green,MIL,2301587,SG,25,7.4,1.5,0.1,2.3000000000000003,0.5,NA,NA,NA,NA,NA,NA,NA
Scotty Pippen Jr.,MEM,2270735,PG,24,9.9,4.4,0.4,3.3,1.3,NA,NA,NA,NA,NA,NA,NA
JD Davison,BOS,2270735,PG,22,2.1,0.8,0.1,0.7999999999999999,0.3,2022,53,BOS,Alabama,3,0.1,0.03333333333333333
A.J. Lawson,TOR,2270735,SG,24,9.1,1.2,0.2,3.3,0.5,NA,NA,NA,NA,NA,NA,NA
Brandon Williams,DAL,2270735,PG,25,8.3,2.3,0.2,1.7999999999999998,0.7,NA,NA,NA,NA,NA,NA,NA
Moussa Diabaté,CHO,2270735,C,23,5.7,0.8,0.6,6.1,0.6,2022,43,LAC,Michigan,3,4,1.3333333333333333
Rayan Rupert,POR,2221677,SG,20,3,0.5,0.1,1.3,0.3,2023,43,POR,NA,2,-0.1,-0.05
Ricky Council IV,PHI,2221677,SF,23,7.3,1.3,0.2,2.9000000000000004,0.4,NA,NA,NA,NA,NA,NA,NA
GG Jackson II,MEM,2221677,PF,20,7.2,1,0.2,3.1,0.4,2023,45,MEM,South Carolina,2,1.3,0.65
Gui Santos,GSW,2221677,PF,22,4.1,1.4,0.2,3.1,0.4,2022,55,GSW,NA,2,2.4,1.2
Jalen Pickett,DEN,2221677,SG,25,4.1,2.2,0.1,1.4000000000000001,0.4,2023,32,IND,Penn State,2,1.2,0.6
Hunter Tyson,DEN,2221677,PF,24,2.6,0.4,0.1,1.5,0.2,2023,37,OKC,Clemson,2,0.4,0.2
Julian Phillips,CHI,2221677,SF,21,4.6,0.5,0.3,2.1,0.5,2023,35,BOS,Tennessee,2,2.1,1.05
Jalen Wilson,BRK,2221677,PF,24,9.5,1.8,0.1,3.4,0.5,2023,51,BRK,Kansas,2,3,1.5
Jordan Walsh,BOS,2221677,PF,20,1.6,0.4,0.2,1.3,0.2,2023,38,SAC,Arkansas,2,0.5,0.25
Duop Reath,POR,2221677,C,28,4.2,0.6,0.3,2,0.3,NA,NA,NA,NA,NA,NA,NA
Toumani Camara,POR,2221677,PF,24,11.3,2.2,0.6,5.800000000000001,1.5,2023,52,PHO,Dayton,2,7.2,3.6
Leonard Miller,MIN,2221677,SF,21,1.5,0,0.1,0.8,0.2,2023,33,SAS,NA,2,0.4,0.2
Andre Jackson Jr.,MIL,2221677,SG,23,3.4,1.2,0.2,2.7,0.5,2023,36,ORL,UConn,2,2.2,1.1
Trayce Jackson-Davis,GSW,2221677,C,24,6.6,1.7,0.6,5,0.4,2023,57,WAS,Indiana,2,8.2,4.1
Craig Porter Jr.,CLE,2221677,PG,24,3.7,1.4,0.3,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
Mouhamed Gueye,ATL,2221677,PF,22,6,0.8,1,4.2,0.8,2023,39,CHO,Washington State,2,1.4,0.7
JaVale McGee,DAL,2208856,NA,NA,NA,NA,NA,NA,NA,2008,18,WAS,Nevada,16,43.7,2.73125
Tyler Kolek,NYK,2191897,PG,23,2,1.7,0.1,0.7,0.3,2024,34,POR,Marquette,1,0.4,0.4
Jaylen Clark,MIN,2191897,SG,23,4.1,0.7,0.1,1.4,0.9,2023,53,MIN,UCLA,1,1.6,1.6
Tyrese Martin,BRK,2191897,SG,25,8.7,2,0.2,3.7,0.6,2022,51,GSW,UConn,2,0.9,0.45
Tyler Smith,MIL,1955377,PF,20,2.9,0.2,0.2,1.1,0.1,2024,33,MIL,NA,1,0.2,0.2
Johnny Furphy,IND,1955377,SG,20,2.1,0.4,0.2,1.5,0.4,2024,35,SAS,Kansas,1,0.5,0.5
Jonathan Mogbo,TOR,1955377,PF,23,6.2,2.3,0.5,4.9,0.9,2024,31,TOR,San Francisco,1,1.9,1.9
Jamal Shead,TOR,1955377,PG,22,7.1,4.2,0.1,1.5,0.8,2024,45,SAC,Houston,1,0.8,0.8
Isaac Jones,SAC,1955377,PF,24,3.4,0.3,0.3,1.5,0.1,NA,NA,NA,NA,NA,NA,NA
Oso Ighodaro,PHO,1955377,PF,22,4.2,1.2,0.5,3.7,0.5,2024,40,POR,Marquette,1,1.6,1.6
Ariel Hukporti,NYK,1955377,C,22,1.9,0.4,0.6,2.1,0,2024,58,DAL,NA,1,0.1,0.1
Karlo Matković,NOP,1955377,PF,23,7.7,1.1,1,5,0.5,2022,52,NOP,NA,1,1.6,1.6
Keshad Johnson,MIA,1955377,SF,23,2.7,0.3,0.3,1.7999999999999998,0.3,NA,NA,NA,NA,NA,NA,NA
Jaylen Wells,MEM,1955377,SG,21,10.4,1.7,0.1,3.4,0.6,2024,39,MEM,Washington State,1,3.5,3.5
Bronny James,LAL,1955377,SG,20,2.3,0.8,0.1,0.6,0.3,2024,55,LAL,USC,1,-0.2,-0.2
Cam Christie,LAC,1955377,SG,19,1.4,0.5,0.1,0.8999999999999999,0.4,2024,46,LAC,Minnesota,1,0,0
Quinten Post,GSW,1955377,PF,24,8.1,1.3,0.4,3.5,0.4,2024,52,GSW,Boston College,1,1.7,1.7
Bobi Klintman,DET,1955377,SF,21,1.9,0.9,0.1,0.9,0.3,2024,37,MIN,NA,1,0.2,0.2
Drew Timme,BRK,1955377,PF,24,12.1,2.2,0.1,7.199999999999999,0.4,NA,NA,NA,NA,NA,NA,NA
Jamison Battle,TOR,1955377,SF,23,7.1,0.9,0.2,2.7,0.3,NA,NA,NA,NA,NA,NA,NA
Adem Bona,PHI,1955377,C,21,5.8,0.5,1.2,4.2,0.4,2024,41,PHI,UCLA,1,2.3,2.3
Pelle Larsson,MIA,1955377,SG,23,4.6,1.2,0.1,1.7,0.6,2024,44,HOU,Arizona,1,1.4,1.4
E.J. Liddell,PHO,706898,PF,24,1.8,0.3,0.1,0.8,0.1,2022,41,NOP,Ohio State,2,0.1,0.05
Mamadi Diakite,MEM,464050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Rubio,CLE,424672,NA,NA,NA,NA,NA,NA,NA,2009,5,MIN,NA,12,42.3,3.525
Didi Louzada,POR,268032,NA,NA,NA,NA,NA,NA,NA,2019,35,ATL,NA,2,-0.1,-0.05
